user_id,assessment_pid,parent_id,teacher_id,birth_month,birth_year
ZFcxyy6yDbSYMh2qOxKHKC6XSoG2,NA,NA,NA,12,10000
c7SdxRCsiVYPdtfraN6GzAj9y0G3,NA,NA,NA,12,10000
G81yXPpc5bgW8G4NuSsuJKcBGBa2,NA,NA,NA,12,10000
WJQiNmROWOS0uKn8EJCee1fO5VR2,NA,NA,NA,12,10000
R2OkTtNWaEgLhi9eCh5geyP7XK43,NA,NA,NA,12,10000
WVDT3TyhujV81Yqn0qjsZ9zjO0r2,NA,NA,NA,12,10000
3e3iO1XsiZSG388wCFYAJIkq2tI2,NA,NA,NA,12,10000
lOh4gprTz8SSbqJ167OfNufz0fO2,NA,NA,NA,12,10000
AcYn3h6VNkY9AwcKlijaDuNTZ7v2,NA,NA,NA,12,10000
fyTVu1Hn3sO5tzyOdTn6YzXLOk32,NA,NA,NA,12,10000
M8kG33j0JpX10wBcsrgW0lfLGFv2,NA,NA,NA,12,10000
qSJLi3qMHAghZu8v1fhkrhXS3Q53,NA,NA,NA,12,10000
zUJLN9PxGdXkKiTQSHfbELekJNv1,NA,NA,NA,12,10000
pW3tyaiTkWRTH6eMvq3loJ4qH5n1,NA,NA,NA,12,10000
rJGkX7B48oYufIQ2J9S1CGiFhdb2,NA,NA,NA,12,10000
6IoxgqP5e1QR86vkZTw9XpUcfOu2,NA,NA,NA,12,10000
VNC3CvITqTdOHHvWMEzwjPDPxiH2,NA,NA,NA,12,10000
Q04sUzwEgQUthlt7j2V5baawD7k2,NA,NA,NA,12,10000
rQ5z7KQNrPcyPSmhQ0C29sQSnCf1,NA,NA,NA,12,10000
zqFhuLQj9gWbjOiqfaVJ7XKzVO33,NA,NA,NA,12,10000
jozmw21wRYUdNrbIUxPMJ1LqJbF3,NA,NA,NA,12,10000
zlH3BVjeaYb6jCvEyWRgsTzmCkI3,NA,NA,NA,12,10000
034VrJvAowNgdPkxu7A5Wag8UL32,NA,NA,NA,12,10000
O5YodHa3TaOwhFaGVMlhmKLW24X2,NA,NA,NA,12,10000
BdOcTgZq23P9AjW4lXJVcP0vu9k1,NA,NA,NA,12,10000
ZO1wdQYR3LQFj1fuYg5np9Edink1,NA,NA,NA,12,10000
VTk9EEsdgEecDl77GWwylEAW7Xp1,NA,NA,NA,12,10000
7NIhfPhbp6eQ8LrLahsTYeFJ0G02,NA,NA,NA,12,10000
3A6Y3crxEHeo8CPaFvyVWIjXCnw1,NA,NA,NA,12,10000
98i1nykj3rU4mgvrH548NilrZ4x2,NA,NA,NA,12,10000
dSxo3pHk0APJjqoTBdjh4XzPwgb2,NA,NA,NA,12,10000
BtD7yHGLvLOeAWQHy4DNp13wlEc2,NA,NA,NA,12,10000
9FfvVM6gPsMfdw8qyO6oPsyUDN92,NA,NA,NA,12,10000
MLTS384gzPc25nKZ6BolXyGiYOg2,NA,NA,NA,12,10000
f9FRwtfrcBdxuS49PsXrN0NNl2U2,NA,NA,NA,12,10000
Y5IG1zUC2WTYXahisqUF0w8lZlw1,NA,NA,NA,12,10000
XQGa3acPjnWqxSlGXn3tSkwEAup2,NA,NA,NA,12,10000
rvPDRLO4ydf4RO3aP1fki8eJHMD3,NA,NA,NA,12,10000
6MgmLMgyqmcOT4M21EpYcy15w1S2,NA,NA,NA,12,10000
YFATohzyBZMsHdeWglr2QuXmdg03,NA,NA,NA,12,10000
FNCB0ILcqbXlsgFgEJXVxi5pvDu2,NA,NA,NA,12,10000
DXNOv6Rx92dhIDXsfikGj2qOhbT2,NA,NA,NA,12,10000
VOUzoKuRDbPlRtvVyJn2R1We5ik1,NA,NA,NA,12,10000
JQWW0Wb6FgesEwsnH2ra0orUfJB2,NA,NA,NA,12,10000
YsEuvE484haWrYSkmx4AFtOQIIJ3,NA,NA,NA,12,10000
EnsZJZ0C8BUY5YBMfkVQc7FqfDY2,NA,NA,NA,12,10000
vVVOdBOULQPgFCTfyjtItKGRHQr2,NA,NA,NA,12,10000
noqs4mVheOdCLOsnyZ6QxCg9TgG2,NA,NA,NA,12,10000
waUQluffwSXn6RW0lDt3V0ByfEw2,NA,NA,NA,12,10000
q4a2Ri3UBMaomXzDfJw9gFRZgIk1,NA,NA,NA,12,10000
F4Hqx3ZdeaMruMdddGeXIbr7iHI2,NA,NA,NA,12,10000
K2MqMmrDgWQNUy846wJSzW9osmE2,NA,NA,NA,12,10000
cEKIRK7YiahrYWhV34nICAcgWwh1,NA,NA,NA,12,10000
2UjKnqYwFnYuc1vl91NWAA6AKw33,NA,NA,NA,12,10000
SeI103aAPkRWaG41gRw1mX7qLgO2,NA,NA,NA,12,10000
RFOzcnBY7SgMTvMwcU6jEzXJO1I3,NA,NA,NA,12,10000
KXDmpeXGvVQac160ATivRnD5Doj2,NA,NA,NA,12,10000
3nhk2z1bEqVm5OvjkdKwQ5Up83T2,NA,NA,NA,12,10000
bOAl5f86orRaXDtsYx5uU2QMNmH3,NA,NA,NA,12,10000
PE9aUPa2FdPbipcFIibe7u5dUgl1,NA,NA,NA,12,10000
1AgoiIub35MdZI67PdADZ1Wz4Pv1,NA,NA,NA,12,10000
0Hp9EZA2QJTYzTnWyitqPM526pa2,NA,NA,NA,12,10000
bTj5OiFFGfbaN0qTn5ZtAcrr09f2,NA,NA,NA,12,10000
KlSB1rh50sYkfxTWaz8hajbbAiA2,NA,NA,NA,12,10000
wohT3eIEkuZvB0s6YvZ37j7AsiQ2,NA,NA,NA,12,10000
qmrsDd2YCAXOegoHcstCtBhJWPo2,NA,NA,NA,12,10000
5hWQQLoGFkN9XjXh4ALHKUCsEAR2,NA,NA,NA,12,10000
zjkgMNpGH5PA8F2ACaruqsT0kA12,NA,NA,NA,12,10000
bPxnIvYIy6h0Xb0rnsoc7Ma3eFh1,NA,NA,NA,12,10000
g2tpw2hu7pO0drvRxeZMdtrExuq1,NA,NA,NA,12,10000
NwU3W7MUi7dv0hCR7v7L3RkB0Qg1,NA,NA,NA,12,10000
P5hx5siGD7fbtAssxaxMsvSNlYN2,NA,NA,NA,12,10000
PKpUk3kmzdRijkvmUiKpBiuX1fH3,NA,NA,NA,12,10000
d9vq9PKJBZf1WiG0Qc7czBvxWu53,NA,NA,NA,12,10000
oXl0zgoTj7cmeTVjVY9svwjsmRA2,NA,NA,NA,12,10000
KcJwyyLQByOn8hPSiCyo2CnuYJv1,NA,NA,NA,12,10000
CZxU5oNyZnZNXrYE3ckiKgiwacD3,NA,NA,NA,12,10000
sbePJ0ZB5iPsrSFo6jh0oQXqggB3,NA,NA,NA,12,10000
N1FUTJmW6QMEObsuQmD2JxiYDan1,NA,NA,NA,12,10000
SNjWhgd0srhIyJV7ExSV6oo3gs23,NA,NA,NA,12,10000
oFXkGDAMX3MwDvgBsCir63Q6TwE2,NA,NA,NA,12,10000
Ytfm1y7yRIX7q45qb6LKaKyUZkA2,NA,NA,NA,12,10000
IwNz1EfR0QNkx8oNcfUCZUcqajj2,NA,NA,NA,12,10000
i5z7uxXX0fMpntyQ7c6WnfQXJNG2,NA,NA,NA,12,10000
sX0BHCFSGhY7381d8ZRThDuUOSV2,NA,NA,NA,12,10000
3e4OBUU3W9PNSc7uXUje7wGpVx22,NA,NA,NA,12,10000
L0X2XPKzVkMKLKt6TbTMvOQMSCh1,NA,NA,NA,12,10000
yamJO4pDYQdK0dgC5emJ8GS7Mdf2,NA,NA,NA,12,10000
eBjeYf7HoaUeJMDIIi0AaCBnhh82,NA,NA,NA,12,10000
Rz34A53k1wZwnhDh0IjMVVpgFvp1,NA,NA,NA,12,10000
0ikKBgvV7Zg6uDBrlYwXOPAXRsA2,NA,NA,NA,12,10000
hFYRfD4i1fhwHWxVDKxhnbl9xn32,NA,NA,NA,12,10000
20xpdtGDsoQ8X70akeqmtKzUnd52,NA,NA,NA,12,10000
fV2iOJnUq9gupkSCMCvdHTTSA9y2,NA,NA,NA,12,10000
08S0Bno3iUVZwbrKXRaJrO5ynMI3,NA,NA,NA,12,10000
c3UcDwjx40fiAF6YpcHwpCXXoJK2,NA,NA,NA,12,10000
2YQ54FlKH0URpGgUrd4RhYAeclp1,NA,NA,NA,12,10000
c937JlzqRnhXQfb70hCVcVexwtX2,NA,NA,NA,12,10000
7IoWgqOQzdhiQBkbCn4OAqLnc4G3,NA,NA,NA,12,10000
CZkSax7rT6dDCEfT41L9Du5w6XI2,NA,NA,NA,12,10000
Ovua8Lt0qag6YNhn1Fk8spmjjOJ2,NA,NA,NA,12,10000
fT2aQwJ7pZYigB6T2Nt2eXBEGmc2,NA,NA,NA,12,10000
vKlQwh9ZKhN6Pp7CC5NjBZ5OvOA3,NA,NA,NA,12,10000
0NL0h15DyCSQwAVvondKagXIWJ13,NA,NA,NA,12,10000
NLDAGzun59TXGVMmfV35hiXk5tt2,NA,NA,NA,12,10000
Yy8XXxKyGggBZDoCurarI3yq8tr2,NA,NA,NA,12,10000
60hmOscZuzg1iU4FnXG4Vta41Vm1,NA,NA,NA,12,10000
aNJONsuNbZSVhMxPugSDIRPKSyd2,NA,NA,NA,12,10000
vytgGbRynRRA6dpN27QP6RO91FH3,NA,NA,NA,12,10000
A5pMgyBLxERx1zNSFKVwKod3u243,NA,NA,NA,12,10000
akW9Rg5nGxgjn1GzkI66Qg9rEr03,NA,NA,NA,12,10000
epePoNyEWNWytL9jYzvrtRPZhYF3,NA,NA,NA,12,10000
NOPvFuRSY4ZwngUGy615ZA3Vz7y1,NA,NA,NA,12,10000
bE28jSezb5dNCg3P93ur1kfeGR72,NA,NA,NA,12,10000
gODJDHcEd0RESh7K2qESYPcNrz73,NA,NA,NA,12,10000
geoD4ULr34g2LgrQt7z8DQHl3dB2,NA,NA,NA,12,10000
sNAgrd7A3UQd9hO0L7Ol9lrNzqj2,NA,NA,NA,12,10000
hScWWWuqaPbKGlyeleogeNvUnEe2,NA,NA,NA,12,10000
4NZE92m5Q4OViGzB5ywW9WzyNyI2,NA,NA,NA,12,10000
