Task,Item,N,p,pbis,flag_p,flag_pbis
sre,sre_ai_46,11,1,NA,TRUE,FALSE
sre,sre_ai_47,5,1,NA,TRUE,FALSE
sre,sre_ai_48,7,0.857,0.2,FALSE,FALSE
sre,sre_ai_49,8,0.875,0.177,FALSE,TRUE
sre,sre_ai_5,7,1,NA,TRUE,FALSE
sre,sre_ai_50,10,0.9,-0.356,FALSE,TRUE
sre,sre_ai_51,8,1,NA,TRUE,FALSE
sre,sre_ai_52,10,0.9,0.606,FALSE,FALSE
sre,sre_ai_53,7,0.857,0.386,FALSE,FALSE
sre,sre_ai_54,10,1,NA,TRUE,FALSE
sre,sre_ai_55,8,0.875,-0.063,FALSE,TRUE
sre,sre_ai_56,6,1,NA,TRUE,FALSE
sre,sre_ai_57,8,0.875,0.573,FALSE,FALSE
sre,sre_ai_58,7,1,NA,TRUE,FALSE
sre,sre_ai_59,8,0.75,0.051,FALSE,TRUE
sre,sre_ai_6,9,0.778,-0.001,FALSE,TRUE
sre,sre_ai_60,7,1,NA,TRUE,FALSE
sre,sre_ai_61,8,1,NA,TRUE,FALSE
sre,sre_ai_62,9,0.778,-0.255,FALSE,TRUE
sre,sre_ai_63,10,1,NA,TRUE,FALSE
sre,sre_ai_64,6,1,NA,TRUE,FALSE
sre,sre_ai_65,2,1,NA,TRUE,FALSE
sre,sre_ai_66,4,1,NA,TRUE,FALSE
sre,sre_ai_67,8,0.75,-0.105,FALSE,TRUE
sre,sre_ai_68,7,0.714,0.195,FALSE,TRUE
sre,sre_ai_69,7,0.857,0.126,FALSE,TRUE
sre,sre_ai_7,6,0.833,0.272,FALSE,FALSE
sre,sre_ai_70,7,1,NA,TRUE,FALSE
sre,sre_ai_71,6,1,NA,TRUE,FALSE
sre,sre_ai_72,7,0.857,0.363,FALSE,FALSE
sre,sre_ai_73,7,0.857,0.577,FALSE,FALSE
sre,sre_ai_74,5,0.6,0.888,FALSE,FALSE
sre,sre_ai_75,8,1,NA,TRUE,FALSE
sre,sre_ai_76,6,1,NA,TRUE,FALSE
sre,sre_ai_77,9,0.889,0.177,FALSE,TRUE
sre,sre_ai_78,7,0.857,0.161,FALSE,TRUE
sre,sre_ai_79,7,0.714,0.127,FALSE,TRUE
sre,sre_ai_8,7,0.857,0.605,FALSE,FALSE
sre,sre_ai_80,9,1,NA,TRUE,FALSE
sre,sre_ai_81,9,0.556,0.596,FALSE,FALSE
sre,sre_ai_82,9,0.889,0.205,FALSE,FALSE
sre,sre_ai_83,6,1,NA,TRUE,FALSE
sre,sre_ai_84,6,1,NA,TRUE,FALSE
sre,sre_ai_85,7,0.571,0.067,FALSE,TRUE
sre,sre_ai_86,10,1,NA,TRUE,FALSE
sre,sre_ai_87,8,0.875,0.358,FALSE,FALSE
sre,sre_ai_88,11,0.909,0.295,TRUE,FALSE
sre,sre_ai_89,12,0.917,-0.072,TRUE,TRUE
sre,sre_ai_9,8,0.875,0.406,FALSE,FALSE
sre,sre_ai_90,9,0.889,-0.63,FALSE,TRUE
sre,sre_ai_91,8,0.625,0.341,FALSE,FALSE
sre,sre_ai_92,8,0.875,0.204,FALSE,FALSE
sre,sre_ai_93,7,0.714,0.419,FALSE,FALSE
sre,sre_ai_94,5,1,NA,TRUE,FALSE
sre,sre_ai_95,9,1,NA,TRUE,FALSE
sre,sre_ai_96,8,1,NA,TRUE,FALSE
sre,sre_ai_97,7,1,NA,TRUE,FALSE
sre,sre_ai_98,8,0.75,0.097,FALSE,TRUE
sre,sre_ai_99,5,1,NA,TRUE,FALSE
sre,sre_lab_1,33,0.939,-0.239,TRUE,TRUE
sre,sre_lab_10,33,0.909,0.308,TRUE,FALSE
sre,sre_lab_100,4,1,NA,TRUE,FALSE
sre,sre_lab_101,4,0.75,NA,FALSE,FALSE
sre,sre_lab_102,4,1,NA,TRUE,FALSE
sre,sre_lab_103,4,1,NA,TRUE,FALSE
sre,sre_lab_104,4,1,NA,TRUE,FALSE
sre,sre_lab_105,4,0.5,NA,FALSE,FALSE
sre,sre_lab_106,4,0.5,NA,FALSE,FALSE
sre,sre_lab_107,4,0.75,NA,FALSE,FALSE
sre,sre_lab_108,4,1,NA,TRUE,FALSE
sre,sre_lab_109,4,0.5,NA,FALSE,FALSE
sre,sre_lab_11,32,0.906,0.186,TRUE,TRUE
sre,sre_lab_110,4,1,NA,TRUE,FALSE
sre,sre_lab_111,3,0.333,NA,FALSE,FALSE
sre,sre_lab_112,3,0,NA,TRUE,FALSE
sre,sre_lab_113,2,0,NA,TRUE,FALSE
sre,sre_lab_114,2,0.5,NA,FALSE,FALSE
sre,sre_lab_115,1,1,NA,TRUE,FALSE
sre,sre_lab_116,2,0,NA,TRUE,FALSE
sre,sre_lab_117,2,0,NA,TRUE,FALSE
sre,sre_lab_118,1,1,NA,TRUE,FALSE
sre,sre_lab_119,1,0,NA,TRUE,FALSE
sre,sre_lab_12,32,0.969,0.138,TRUE,TRUE
sre,sre_lab_120,1,1,NA,TRUE,FALSE
sre,sre_lab_121,1,1,NA,TRUE,FALSE
sre,sre_lab_122,1,1,NA,TRUE,FALSE
sre,sre_lab_123,1,0,NA,TRUE,FALSE
sre,sre_lab_124,1,0,NA,TRUE,FALSE
sre,sre_lab_125,1,1,NA,TRUE,FALSE
sre,sre_lab_126,1,1,NA,TRUE,FALSE
sre,sre_lab_127,1,1,NA,TRUE,FALSE
sre,sre_lab_128,1,1,NA,TRUE,FALSE
sre,sre_lab_129,1,1,NA,TRUE,FALSE
sre,sre_lab_13,32,0.969,0.022,TRUE,TRUE
sre,sre_lab_130,1,1,NA,TRUE,FALSE
sre,sre_lab_14,31,0.935,0.228,TRUE,FALSE
sre,sre_lab_15,31,0.968,-0.067,TRUE,TRUE
sre,sre_lab_16,32,0.844,0.234,FALSE,FALSE
sre,sre_lab_17,32,0.906,0.282,TRUE,FALSE
sre,sre_lab_18,32,0.781,0.32,FALSE,FALSE
sre,sre_lab_19,31,0.935,0.051,TRUE,TRUE
sre,sre_lab_2,33,0.818,-0.132,FALSE,TRUE
sre,sre_lab_20,33,0.879,0.218,FALSE,FALSE
sre,sre_lab_21,30,0.9,0.148,FALSE,TRUE
sre,sre_lab_22,31,0.935,0.266,TRUE,FALSE
sre,sre_lab_23,31,0.935,-0.092,TRUE,TRUE
sre,sre_lab_24,31,0.968,-0.065,TRUE,TRUE
sre,sre_lab_25,31,0.968,0.236,TRUE,FALSE
sre,sre_lab_26,31,0.935,-0.048,TRUE,TRUE
sre,sre_lab_27,30,0.933,0.303,TRUE,FALSE
sre,sre_lab_28,30,1,NA,TRUE,FALSE
sre,sre_lab_29,29,1,NA,TRUE,FALSE
sre,sre_lab_3,31,0.935,-0.026,TRUE,TRUE
sre,sre_lab_30,30,0.9,0.096,FALSE,TRUE
sre,sre_lab_31,30,0.9,0.224,FALSE,FALSE
sre,sre_lab_32,29,0.966,0.174,TRUE,TRUE
sre,sre_lab_33,29,1,NA,TRUE,FALSE
sre,sre_lab_34,28,0.964,-0.115,TRUE,TRUE
sre,sre_lab_35,28,0.929,0.225,TRUE,FALSE
sre,sre_lab_36,27,0.963,0.195,TRUE,TRUE
sre,sre_lab_37,26,0.962,-0.119,TRUE,TRUE
sre,sre_lab_38,25,0.96,0.037,TRUE,TRUE
sre,sre_lab_39,25,1,NA,TRUE,FALSE
sre,sre_lab_4,29,0.966,0.01,TRUE,TRUE
sre,sre_lab_40,25,0.96,0.16,TRUE,TRUE
sre,sre_lab_41,26,0.923,0.211,TRUE,FALSE
sre,sre_lab_42,25,0.88,0.438,FALSE,FALSE
sre,sre_lab_43,25,1,NA,TRUE,FALSE
sre,sre_lab_44,25,1,NA,TRUE,FALSE
sre,sre_lab_45,24,0.917,-0.103,TRUE,TRUE
sre,sre_lab_46,24,0.958,0.24,TRUE,FALSE
sre,sre_lab_47,24,0.917,-0.271,TRUE,TRUE
sre,sre_lab_48,23,0.957,-0.15,TRUE,TRUE
sre,sre_lab_49,24,0.917,-0.264,TRUE,TRUE
sre,sre_lab_5,32,0.781,0.396,FALSE,FALSE
sre,sre_lab_50,23,0.913,0.183,TRUE,TRUE
sre,sre_lab_51,22,0.909,0.411,TRUE,FALSE
sre,sre_lab_52,21,0.952,0.017,TRUE,TRUE
sre,sre_lab_53,20,0.85,-0.074,FALSE,TRUE
sre,sre_lab_54,20,1,NA,TRUE,FALSE
sre,sre_lab_55,20,0.9,-0.052,FALSE,TRUE
sre,sre_lab_56,19,0.947,0.223,TRUE,FALSE
sre,sre_lab_57,18,1,NA,TRUE,FALSE
sre,sre_lab_58,19,0.895,-0.044,FALSE,TRUE
sre,sre_lab_59,19,0.895,0.164,FALSE,TRUE
sre,sre_lab_6,32,0.938,0.214,TRUE,FALSE
sre,sre_lab_60,18,1,NA,TRUE,FALSE
sre,sre_lab_61,18,0.944,0.342,TRUE,FALSE
sre,sre_lab_62,16,0.875,0.289,FALSE,FALSE
sre,sre_lab_63,17,0.882,0.173,FALSE,TRUE
sre,sre_lab_64,17,0.882,0.011,FALSE,TRUE
sre,sre_lab_65,16,1,NA,TRUE,FALSE
sre,sre_lab_66,17,0.824,0.183,FALSE,TRUE
sre,sre_lab_67,16,0.875,0.224,FALSE,FALSE
sre,sre_lab_68,16,0.938,0.08,TRUE,TRUE
sre,sre_lab_69,16,0.938,0.38,TRUE,FALSE
sre,sre_lab_7,33,0.939,-0.002,TRUE,TRUE
sre,sre_lab_70,16,0.938,0.38,TRUE,FALSE
sre,sre_lab_71,16,0.938,0.08,TRUE,TRUE
sre,sre_lab_72,14,0.929,-0.054,TRUE,TRUE
sre,sre_lab_73,12,0.667,-0.053,FALSE,TRUE
sre,sre_lab_74,12,0.917,0.219,TRUE,FALSE
sre,sre_lab_75,12,0.917,0.219,TRUE,FALSE
sre,sre_lab_76,10,1,NA,TRUE,FALSE
sre,sre_lab_77,10,0.9,0.235,FALSE,FALSE
sre,sre_lab_78,9,0.889,0.249,FALSE,FALSE
sre,sre_lab_79,9,0.889,0.249,FALSE,FALSE
sre,sre_lab_8,33,0.909,-0.006,TRUE,TRUE
sre,sre_lab_80,9,1,NA,TRUE,FALSE
sre,sre_lab_81,6,0.833,0.71,FALSE,FALSE
sre,sre_lab_82,6,0.667,0.394,FALSE,FALSE
sre,sre_lab_83,6,0.667,0.857,FALSE,FALSE
sre,sre_lab_84,6,0.667,0.025,FALSE,TRUE
sre,sre_lab_85,5,1,NA,TRUE,FALSE
sre,sre_lab_86,5,1,NA,TRUE,FALSE
sre,sre_lab_87,5,1,NA,TRUE,FALSE
sre,sre_lab_88,5,1,NA,TRUE,FALSE
sre,sre_lab_89,5,0.8,0.865,FALSE,FALSE
sre,sre_lab_9,32,0.844,0.189,FALSE,TRUE
sre,sre_lab_90,4,0.75,NA,FALSE,FALSE
sre,sre_lab_91,4,0.5,NA,FALSE,FALSE
sre,sre_lab_92,4,0.75,NA,FALSE,FALSE
sre,sre_lab_93,4,0.75,NA,FALSE,FALSE
sre,sre_lab_94,4,0.5,NA,FALSE,FALSE
sre,sre_lab_95,4,1,NA,TRUE,FALSE
sre,sre_lab_96,4,0.5,NA,FALSE,FALSE
sre,sre_lab_97,4,0.75,NA,FALSE,FALSE
sre,sre_lab_98,4,0.5,NA,FALSE,FALSE
sre,sre_lab_99,4,0.5,NA,FALSE,FALSE
sre,sre_spanish_ai-human_1,29,0.828,-0.045,FALSE,TRUE
sre,sre_spanish_ai-human_10,27,0.852,0.041,FALSE,TRUE
sre,sre_spanish_ai-human_11,19,0.737,-0.017,FALSE,TRUE
sre,sre_spanish_ai-human_12,23,0.826,-0.055,FALSE,TRUE
sre,sre_spanish_ai-human_13,31,0.839,-0.176,FALSE,TRUE
sre,sre_spanish_ai-human_14,32,0.844,0.013,FALSE,TRUE
sre,sre_spanish_ai-human_15,29,0.69,-0.236,FALSE,TRUE
sre,sre_spanish_ai-human_16,33,0.848,0.272,FALSE,FALSE
sre,sre_spanish_ai-human_17,18,0.889,0.005,FALSE,TRUE
sre,sre_spanish_ai-human_18,38,0.947,-0.163,TRUE,TRUE
sre,sre_spanish_ai-human_19,22,0.818,0.213,FALSE,FALSE
sre,sre_spanish_ai-human_2,32,0.906,0.184,TRUE,TRUE
sre,sre_spanish_ai-human_20,28,0.857,-0.136,FALSE,TRUE
sre,sre_spanish_ai-human_21,35,0.943,0.028,TRUE,TRUE
sre,sre_spanish_ai-human_22,29,0.862,0.044,FALSE,TRUE
sre,sre_spanish_ai-human_23,28,0.286,-0.009,FALSE,TRUE
sre,sre_spanish_ai-human_24,30,0.767,0.088,FALSE,TRUE
sre,sre_spanish_ai-human_25,26,0.769,0.327,FALSE,FALSE
sre,sre_spanish_ai-human_26,37,0.838,0.318,FALSE,FALSE
sre,sre_spanish_ai-human_27,34,0.882,0.177,FALSE,TRUE
sre,sre_spanish_ai-human_28,37,0.919,-0.252,TRUE,TRUE
sre,sre_spanish_ai-human_29,35,0.914,0.025,TRUE,TRUE
sre,sre_spanish_ai-human_3,30,0.833,0.11,FALSE,TRUE
sre,sre_spanish_ai-human_30,26,0.885,0.207,FALSE,FALSE
sre,sre_spanish_ai-human_31,28,0.714,0.104,FALSE,TRUE
sre,sre_spanish_ai-human_32,37,0.73,0.351,FALSE,FALSE
sre,sre_spanish_ai-human_33,23,0.435,0.152,FALSE,TRUE
sre,sre_spanish_ai-human_34,27,0.852,0.157,FALSE,TRUE
sre,sre_spanish_ai-human_35,25,0.84,0.184,FALSE,TRUE
sre,sre_spanish_ai-human_36,25,0.96,-0.323,TRUE,TRUE
sre,sre_spanish_ai-human_37,30,0.933,0.31,TRUE,FALSE
sre,sre_spanish_ai-human_38,19,0.842,0.209,FALSE,FALSE
sre,sre_spanish_ai-human_39,30,0.733,-0.382,FALSE,TRUE
sre,sre_spanish_ai-human_4,34,0.853,-0.026,FALSE,TRUE
sre,sre_spanish_ai-human_40,26,0.885,0.118,FALSE,TRUE
sre,sre_spanish_ai-human_41,29,0.862,0.422,FALSE,FALSE
sre,sre_spanish_ai-human_42,26,0.769,0.205,FALSE,FALSE
sre,sre_spanish_ai-human_43,31,0.968,-0.359,TRUE,TRUE
sre,sre_spanish_ai-human_44,29,0.897,-0.189,FALSE,TRUE
sre,sre_spanish_ai-human_45,27,0.926,0.12,TRUE,TRUE
sre,sre_spanish_ai-human_46,26,0.923,0.253,TRUE,FALSE
sre,sre_spanish_ai-human_47,28,0.929,0.068,TRUE,TRUE
sre,sre_spanish_ai-human_48,21,0.857,-0.097,FALSE,TRUE
sre,sre_spanish_ai-human_49,35,0.914,-0.019,TRUE,TRUE
sre,sre_spanish_ai-human_5,35,0.771,-0.003,FALSE,TRUE
sre,sre_spanish_ai-human_50,24,0.917,-0.232,TRUE,TRUE
sre,sre_spanish_ai-human_51,26,0.885,-0.59,FALSE,TRUE
sre,sre_spanish_ai-human_52,20,0.85,-0.086,FALSE,TRUE
sre,sre_spanish_ai-human_53,32,0.938,-0.346,TRUE,TRUE
sre,sre_spanish_ai-human_6,27,0.037,0.037,TRUE,TRUE
sre,sre_spanish_ai-human_7,29,0.897,-0.219,FALSE,TRUE
sre,sre_spanish_ai-human_8,35,0.714,0.215,FALSE,FALSE
sre,sre_spanish_ai-human_9,37,0.865,-0.099,FALSE,TRUE
sre,sre_spanish_ai_1,39,0.821,0.011,FALSE,TRUE
sre,sre_spanish_ai_10,35,0.4,0.264,FALSE,FALSE
sre,sre_spanish_ai_100,30,0.867,-0.521,FALSE,TRUE
sre,sre_spanish_ai_101,23,0.913,0.032,TRUE,TRUE
sre,sre_spanish_ai_102,16,0.75,0.43,FALSE,FALSE
sre,sre_spanish_ai_103,27,0.926,-0.144,TRUE,TRUE
sre,sre_spanish_ai_104,29,0.828,0.06,FALSE,TRUE
sre,sre_spanish_ai_105,36,0.972,0.14,TRUE,TRUE
sre,sre_spanish_ai_106,29,0.897,-0.013,FALSE,TRUE
sre,sre_spanish_ai_107,29,0.966,0.092,TRUE,TRUE
sre,sre_spanish_ai_108,27,0.704,-0.302,FALSE,TRUE
sre,sre_spanish_ai_109,23,0.783,0.083,FALSE,TRUE
sre,sre_spanish_ai_11,27,0.815,0.301,FALSE,FALSE
sre,sre_spanish_ai_110,33,0.97,0.071,TRUE,TRUE
sre,sre_spanish_ai_111,29,0.793,-0.26,FALSE,TRUE
sre,sre_spanish_ai_112,33,0.848,0.211,FALSE,FALSE
sre,sre_spanish_ai_113,42,0.786,-0.036,FALSE,TRUE
sre,sre_spanish_ai_114,28,0.786,0.089,FALSE,TRUE
sre,sre_spanish_ai_115,29,0.828,0.272,FALSE,FALSE
sre,sre_spanish_ai_116,23,0.957,0.061,TRUE,TRUE
sre,sre_spanish_ai_117,23,1,NA,TRUE,FALSE
sre,sre_spanish_ai_118,30,0.933,0.065,TRUE,TRUE
sre,sre_spanish_ai_119,23,0.826,-0.31,FALSE,TRUE
sre,sre_spanish_ai_12,35,0.914,0.187,TRUE,TRUE
sre,sre_spanish_ai_120,28,0.893,-0.186,FALSE,TRUE
sre,sre_spanish_ai_121,44,0.955,0.083,TRUE,TRUE
sre,sre_spanish_ai_122,41,0.756,-0.026,FALSE,TRUE
sre,sre_spanish_ai_123,29,0.828,0.118,FALSE,TRUE
sre,sre_spanish_ai_124,31,0.903,0.213,TRUE,FALSE
sre,sre_spanish_ai_125,22,0.864,-0.078,FALSE,TRUE
sre,sre_spanish_ai_126,17,0.882,0.103,FALSE,TRUE
sre,sre_spanish_ai_127,23,1,NA,TRUE,FALSE
sre,sre_spanish_ai_128,32,0.875,0.085,FALSE,TRUE
sre,sre_spanish_ai_129,32,0.75,0.078,FALSE,TRUE
sre,sre_spanish_ai_13,23,0.739,-0.107,FALSE,TRUE
sre,sre_spanish_ai_130,28,0.964,-0.149,TRUE,TRUE
sre,sre_spanish_ai_131,21,0.905,-0.078,TRUE,TRUE
sre,sre_spanish_ai_132,26,0.846,0.073,FALSE,TRUE
sre,sre_spanish_ai_133,25,0.76,-0.143,FALSE,TRUE
sre,sre_spanish_ai_134,28,0.893,0.051,FALSE,TRUE
sre,sre_spanish_ai_135,32,0.719,0.083,FALSE,TRUE
sre,sre_spanish_ai_136,32,0.875,0.324,FALSE,FALSE
sre,sre_spanish_ai_137,30,0.667,0.403,FALSE,FALSE
sre,sre_spanish_ai_138,35,0.886,0.035,FALSE,TRUE
sre,sre_spanish_ai_139,28,0.821,-0.055,FALSE,TRUE
sre,sre_spanish_ai_14,29,0.862,-0.11,FALSE,TRUE
sre,sre_spanish_ai_140,25,0.88,0.036,FALSE,TRUE
sre,sre_spanish_ai_141,27,0.889,-0.106,FALSE,TRUE
sre,sre_spanish_ai_142,35,0.886,-0.001,FALSE,TRUE
sre,sre_spanish_ai_143,29,0.897,-0.288,FALSE,TRUE
sre,sre_spanish_ai_144,24,0.958,0.137,TRUE,TRUE
sre,sre_spanish_ai_145,28,0.857,-0.225,FALSE,TRUE
sre,sre_spanish_ai_146,34,0.912,0.203,TRUE,FALSE
sre,sre_spanish_ai_147,20,0.75,0.222,FALSE,FALSE
sre,sre_spanish_ai_148,33,0.758,0.241,FALSE,FALSE
sre,sre_spanish_ai_149,28,0.929,0.152,TRUE,TRUE
sre,sre_spanish_ai_15,30,0.767,0.022,FALSE,TRUE
sre,sre_spanish_ai_150,30,0.933,0.076,TRUE,TRUE
sre,sre_spanish_ai_151,15,0.867,0.168,FALSE,TRUE
sre,sre_spanish_ai_152,21,0.81,-0.191,FALSE,TRUE
sre,sre_spanish_ai_153,28,0.857,0.081,FALSE,TRUE
sre,sre_spanish_ai_154,40,0.925,0.108,TRUE,TRUE
sre,sre_spanish_ai_155,18,0.889,-0.154,FALSE,TRUE
sre,sre_spanish_ai_156,26,0.731,0.144,FALSE,TRUE
sre,sre_spanish_ai_157,33,0.879,0.011,FALSE,TRUE
sre,sre_spanish_ai_158,27,0.889,-0.053,FALSE,TRUE
sre,sre_spanish_ai_159,28,0.786,-0.045,FALSE,TRUE
sre,sre_spanish_ai_16,26,0.846,0.186,FALSE,TRUE
sre,sre_spanish_ai_160,24,0.917,-0.313,TRUE,TRUE
sre,sre_spanish_ai_161,33,0.909,-0.207,TRUE,TRUE
sre,sre_spanish_ai_162,25,0.92,0.019,TRUE,TRUE
sre,sre_spanish_ai_163,21,0.81,-0.433,FALSE,TRUE
sre,sre_spanish_ai_164,26,0.808,-0.057,FALSE,TRUE
sre,sre_spanish_ai_165,25,0.96,-0.057,TRUE,TRUE
sre,sre_spanish_ai_166,30,0.933,0.025,TRUE,TRUE
sre,sre_spanish_ai_167,28,0.714,-0.376,FALSE,TRUE
sre,sre_spanish_ai_168,37,0.892,-0.111,FALSE,TRUE
sre,sre_spanish_ai_169,23,0.957,-0.154,TRUE,TRUE
sre,sre_spanish_ai_17,19,0.895,-0.523,FALSE,TRUE
sre,sre_spanish_ai_170,26,0.923,-0.635,TRUE,TRUE
sre,sre_spanish_ai_171,21,0.952,-0.274,TRUE,TRUE
sre,sre_spanish_ai_172,26,0.577,-0.332,FALSE,TRUE
sre,sre_spanish_ai_173,18,0.722,-0.119,FALSE,TRUE
sre,sre_spanish_ai_174,29,0.172,0.208,TRUE,FALSE
sre,sre_spanish_ai_175,28,0.857,-0.062,FALSE,TRUE
sre,sre_spanish_ai_176,25,0.68,-0.085,FALSE,TRUE
sre,sre_spanish_ai_177,33,0.939,-0.221,TRUE,TRUE
sre,sre_spanish_ai_178,29,0.931,-0.067,TRUE,TRUE
sre,sre_spanish_ai_179,30,0.9,-0.213,FALSE,TRUE
sre,sre_spanish_ai_18,24,0.875,-0.209,FALSE,TRUE
sre,sre_spanish_ai_180,33,0.879,0.02,FALSE,TRUE
sre,sre_spanish_ai_181,26,0.885,0.161,FALSE,TRUE
sre,sre_spanish_ai_182,21,0.81,0.158,FALSE,TRUE
sre,sre_spanish_ai_183,26,0.654,0.164,FALSE,TRUE
sre,sre_spanish_ai_184,30,0.933,-0.169,TRUE,TRUE
sre,sre_spanish_ai_185,32,0.844,-0.149,FALSE,TRUE
sre,sre_spanish_ai_186,26,0.885,0.019,FALSE,TRUE
sre,sre_spanish_ai_187,24,0.75,0.164,FALSE,TRUE
sre,sre_spanish_ai_188,27,0.667,-0.023,FALSE,TRUE
sre,sre_spanish_ai_189,19,0.737,0.22,FALSE,FALSE
sre,sre_spanish_ai_19,32,0.906,-0.027,TRUE,TRUE
sre,sre_spanish_ai_190,26,0.808,0.227,FALSE,FALSE
sre,sre_spanish_ai_191,27,0.889,0.177,FALSE,TRUE
sre,sre_spanish_ai_192,21,0.952,-0.098,TRUE,TRUE
sre,sre_spanish_ai_193,28,0.821,-0.075,FALSE,TRUE
sre,sre_spanish_ai_194,29,0.793,0.055,FALSE,TRUE
sre,sre_spanish_ai_195,28,0.821,0.046,FALSE,TRUE
sre,sre_spanish_ai_196,40,0.875,-0.037,FALSE,TRUE
sre,sre_spanish_ai_197,29,0.724,-0.209,FALSE,TRUE
sre,sre_spanish_ai_198,41,0.854,-0.195,FALSE,TRUE
sre,sre_spanish_ai_199,26,0.923,-0.49,TRUE,TRUE
sre,sre_spanish_ai_2,34,0.559,0.401,FALSE,FALSE
sre,sre_spanish_ai_20,25,0.84,0.071,FALSE,TRUE
sre,sre_spanish_ai_200,18,0.889,0.28,FALSE,FALSE
sre,sre_spanish_ai_201,42,0.952,-0.174,TRUE,TRUE
sre,sre_spanish_ai_202,28,0.821,-0.002,FALSE,TRUE
sre,sre_spanish_ai_203,22,0.864,-0.232,FALSE,TRUE
sre,sre_spanish_ai_204,23,0.609,-0.105,FALSE,TRUE
sre,sre_spanish_ai_205,28,0.929,-0.169,TRUE,TRUE
sre,sre_spanish_ai_206,24,0.792,-0.013,FALSE,TRUE
sre,sre_spanish_ai_207,26,0.692,-0.055,FALSE,TRUE
sre,sre_spanish_ai_21,27,0.963,-0.02,TRUE,TRUE
sre,sre_spanish_ai_22,23,0.522,-0.214,FALSE,TRUE
sre,sre_spanish_ai_23,32,0.969,-0.261,TRUE,TRUE
sre,sre_spanish_ai_24,25,0.76,0.216,FALSE,FALSE
sre,sre_spanish_ai_25,32,0.844,-0.016,FALSE,TRUE
sre,sre_spanish_ai_26,30,0.8,0.008,FALSE,TRUE
sre,sre_spanish_ai_27,32,0.938,-0.175,TRUE,TRUE
sre,sre_spanish_ai_28,30,0.867,-0.006,FALSE,TRUE
sre,sre_spanish_ai_29,28,0.929,-0.174,TRUE,TRUE
sre,sre_spanish_ai_3,24,1,NA,TRUE,FALSE
sre,sre_spanish_ai_30,27,0.852,0.248,FALSE,FALSE
sre,sre_spanish_ai_31,30,0.9,0.103,FALSE,TRUE
sre,sre_spanish_ai_32,33,0.848,-0.223,FALSE,TRUE
sre,sre_spanish_ai_33,31,0.968,-0.42,TRUE,TRUE
sre,sre_spanish_ai_34,35,0.571,0.008,FALSE,TRUE
sre,sre_spanish_ai_35,28,0.786,-0.117,FALSE,TRUE
sre,sre_spanish_ai_36,20,0.8,0.301,FALSE,FALSE
sre,sre_spanish_ai_37,30,0.733,0.027,FALSE,TRUE
sre,sre_spanish_ai_38,25,0.84,0.193,FALSE,TRUE
sre,sre_spanish_ai_39,26,0.846,0.028,FALSE,TRUE
sre,sre_spanish_ai_4,30,0.933,-0.058,TRUE,TRUE
sre,sre_spanish_ai_40,37,0.865,0.105,FALSE,TRUE
sre,sre_spanish_ai_41,31,0.839,0.019,FALSE,TRUE
sre,sre_spanish_ai_42,38,0.737,0.019,FALSE,TRUE
sre,sre_spanish_ai_43,28,0.964,-0.191,TRUE,TRUE
sre,sre_spanish_ai_44,29,0.897,0.033,FALSE,TRUE
sre,sre_spanish_ai_45,18,0.889,-0.181,FALSE,TRUE
sre,sre_spanish_ai_46,27,0.852,-0.066,FALSE,TRUE
sre,sre_spanish_ai_47,34,0.882,-0.465,FALSE,TRUE
sre,sre_spanish_ai_48,31,0.871,0.117,FALSE,TRUE
sre,sre_spanish_ai_49,27,0.926,0.106,TRUE,TRUE
sre,sre_spanish_ai_5,34,0.794,0.15,FALSE,TRUE
sre,sre_spanish_ai_50,25,0.8,-0.037,FALSE,TRUE
sre,sre_spanish_ai_51,27,0.889,0.046,FALSE,TRUE
sre,sre_spanish_ai_52,27,0.889,-0.478,FALSE,TRUE
sre,sre_spanish_ai_53,26,0.808,-0.304,FALSE,TRUE
sre,sre_spanish_ai_54,33,0.879,0.11,FALSE,TRUE
sre,sre_spanish_ai_55,29,0.69,-0.062,FALSE,TRUE
sre,sre_spanish_ai_56,30,0.833,0.034,FALSE,TRUE
sre,sre_spanish_ai_57,27,0.778,-0.068,FALSE,TRUE
sre,sre_spanish_ai_58,24,0.833,-0.01,FALSE,TRUE
sre,sre_spanish_ai_59,26,0.962,-0.42,TRUE,TRUE
sre,sre_spanish_ai_6,30,0.933,0.292,TRUE,FALSE
sre,sre_spanish_ai_60,27,0.889,0.154,FALSE,TRUE
sre,sre_spanish_ai_61,30,0.9,-0.428,FALSE,TRUE
sre,sre_spanish_ai_62,32,0.969,-0.345,TRUE,TRUE
sre,sre_spanish_ai_63,29,0.759,0.273,FALSE,FALSE
sre,sre_spanish_ai_64,21,0.81,-0.135,FALSE,TRUE
sre,sre_spanish_ai_65,37,0.919,-0.061,TRUE,TRUE
sre,sre_spanish_ai_66,30,0.9,-0.168,FALSE,TRUE
sre,sre_spanish_ai_67,28,0.964,-0.212,TRUE,TRUE
sre,sre_spanish_ai_68,25,0.8,0.042,FALSE,TRUE
sre,sre_spanish_ai_69,26,0.923,0.095,TRUE,TRUE
sre,sre_spanish_ai_7,35,0.629,0.342,FALSE,FALSE
sre,sre_spanish_ai_70,36,0.889,-0.363,FALSE,TRUE
sre,sre_spanish_ai_71,27,0.926,0.21,TRUE,FALSE
sre,sre_spanish_ai_72,31,0.839,-0.092,FALSE,TRUE
